Word,Count
stock,417
fall,413
share,347
net,346
profit,291
crore,255
price,224
loss,221
sell,200
low,195
slip,194
eur,186
future,184
bank,184
market,183
per,176
demand,168
cent,165
oil,153
year,152
weak,144
global,142
hit,140
lower,132
drop,129
decline,127
sale,122
mn,119
nifty,114
may,113
sensex,112
india,111
co,110
dollar,109
dip,103
month,103
company,97
gold,94
cue,91
quarter,90
http,88
plunge,87
investor,85
target,85
china,83
pc,82
post,79
euro,78
cr,77
gujral,76
ashwani,76
short,75
bond,74
result,73
week,70
trade,70
ltd,67
report,67
rupee,65
mitesh,63
thacker,63
cut,63
slump,62
end,62
level,60
high,60
day,59
pressure,59
growth,57
top,57
data,56
supply,53
capital,52
metal,52
slide,52
earnings,52
industry,52
concern,50
operating,50
sluggish,50
sebi,50
point,49
booking,48
european,47
ha,47
new,47
stake,47
asia,47
tank,46
rate,46
ahead,46
sandeep,45
finnish,45
crude,45
nearly,45
power,44
stop,44
term,44
downgrade,43
pharma,43
million,43
wagle,43
bearish,42
subdued,42
near,42
see,42
brent,41
first,40
said,40
plan,40
sugar,40
sector,40
group,40
since,40
likely,40
remain,39
period,38
back,38
say,38
trading,38
ftse,38
cost,38
steel,37
wa,37
deepak,37
stks,36
commodity,36
gain,36
seen,35
asian,35
tumble,35
worry,35
edge,35
time,35
selling,34
street,34
tsla,34
mln,34
infosys,34
take,33
hong,32
kong,32
revenue,32
index,32
widens,32
today,32
drag,32
fund,31
get,31
auto,31
copper,31
amid,30
prakash,30
yield,30
good,30
red,29
order,29
indian,29
look,29
cement,29
fear,29
firm,29
tata,29
negative,29
bse,29
margin,29
next,28
decreased,28
go,28
fed,28
mohoni,28
exit,27
aapl,27
higher,27
hurt,27
two,26
one,26
stay,26
rbi,26
face,26
financial,26
estimate,26
asset,26
yuan,26
compared,25
hike,25
like,25
could,25
due,25
third,25
silver,25
valuation,25
call,25
infra,24
lakh,24
april,24
avoid,24
march,24
june,24
security,24
lead,24
half,24
ipo,24
sink,23
buy,23
deal,23
flat,23
issue,23
make,23
move,23
tax,22
mehta,22
dlf,22
early,22
number,22
space,22
currency,22
turn,22
oyj,22
united,22
cardamom,22
yen,22
buying,22
september,22
cap,22
corresponding,22
fell,22
promoter,22
poor,22
close,22
cautious,22
investment,21
airline,21
bet,21
government,21
spy,21
steady,21
finland,21
worst,21
ecb,21
weigh,21
big,21
spot,21
realty,21
medium,21
outlook,21
long,21
continue,20
sterling,20
motor,20
sun,20
biggest,20
finance,20
debt,20
model,20
fresh,20
ongc,20
rise,20
energy,20
rating,20
case,20
banking,20
service,20
december,20
court,19
tech,19
recall,19
analyst,19
psu,19
fails,19
extend,19
gaba,19
risk,19
still,19
falling,19
telecom,19
import,19
expert,18
raise,18
five,18
crack,18
wipro,18
spirit,18
away,18
despite,18
bharti,18
hold,18
wall,18
billion,18
tc,18
downside,18
loses,18
start,18
nsel,18
fb,18
record,18
russia,18
technology,18
hindalco,18
retail,17
weekly,17
second,17
lag,17
put,17
itc,17
ukraine,17
rally,17
fx,17
bear,17
equity,17
turnover,17
crash,16
much,16
test,16
set,16
coal,16
business,16
bad,16
apple,16
uncertainty,16
interest,16
fine,16
trend,16
fy,16
keep,16
shah,16
mahindra,16
disappointing,16
going,16
resistance,16
unlikely,16
weaken,16
come,16
open,16
reliance,16
worth,15
three,15
loser,15
earlier,15
estate,15
real,15
corp,15
trader,15
ranbaxy,15
show,15
gas,15
choppy,15
would,15
choksey,15
australia,15
jspl,15
impact,15
airtel,15
central,15
hel,15
nickel,15
tv,15
tesco,15
reason,15
management,15
job,15
weakness,15
support,15
infrastructure,15
rubber,15
lowest,15
tesla,15
maker,15
nse,15
exchange,15
mcx,14
ban,14
focus,14
drug,14
iv,14
maruti,14
january,14
system,14
rail,14
volatility,14
expected,14
warning,14
sentiment,14
south,14
helsinki,14
extends,14
pct,14
pull,14
idea,14
october,14
loan,14
rout,14
budget,14
german,14
britain,14
sbi,13
rangebound,13
last,13
icici,13
credit,13
export,13
production,13
caution,13
pat,13
percent,13
head,13
total,13
fuel,13
remains,13
retreat,13
weakens,13
chief,13
europe,13
com,13
reduced,13
dipan,13
taking,13
australian,13
chart,13
holding,13
kingfisher,13
election,13
world,13
soften,13
july,13
around,13
hdfc,13
ril,13
woe,13
offtake,13
dividend,13
greek,12
lose,12
delay,12
strong,12
deutsche,12
crisis,12
irani,12
reserve,12
cairn,12
item,12
break,12
construction,12
palm,12
run,12
federal,12
uk,12
totaled,12
current,12
subramaniam,12
volume,12
weaker,12
korean,12
deven,12
domestic,12
property,12
adequate,12
competition,12
towards,12
disappoint,11
foreign,11
chilli,11
people,11
turmeric,11
laboratory,11
inflation,11
money,11
astrazeneca,11
scam,11
hope,11
staff,11
russian,11
output,11
chana,11
operation,11
brokerage,11
base,11
find,11
looking,11
book,11
forex,11
suisse,11
eye,11
non,11
coriander,11
small,11
eyed,11
acc,11
greece,11
emerging,11
jet,11
news,11
miss,11
expect,11
duty,11
cash,11
nikkei,11
project,11
increased,11
talk,11
key,11
norm,11
bajaj,11
vijay,11
paisa,10
seat,10
corporation,10
hul,10
lng,10
vote,10
sat,10
lot,10
unitech,10
unit,10
grow,10
barclays,10
opening,10
broking,10
continues,10
tough,10
ceo,10
prospect,10
food,10
standard,10
update,10
underweight,10
mentha,10
gail,10
little,10
fourth,10
mehraboon,10
reject,10
also,10
expectation,10
contract,10
offer,10
gmr,10
cbi,10
rising,10
bhambwani,10
bourse,10
lay,10
limit,10
liquidity,10
rajat,10
totalled,10
bose,10
plummet,10
comment,10
edible,10
shareholder,10
shell,10
chinese,10
underperform,10
regulatory,10
range,10
communication,10
hsbc,10
suzlon,10
seed,10
member,10
london,10
baliga,10
excluding,10
life,10
disappoints,10
ambareesh,10
hedge,9
surprise,9
four,9
recurring,9
income,9
probe,9
port,9
hazari,9
pretax,9
economic,9
