Word,Count
net,715
stock,660
eur,622
profit,555
crore,470
share,374
year,361
company,338
high,319
sale,311
buy,306
bank,302
rise,298
rally,271
mn,271
market,268
gain,266
per,251
ha,216
surge,206
good,203
cent,203
cr,201
india,199
co,198
said,194
price,193
million,190
finnish,181
quarter,175
http,174
long,164
new,161
hit,160
month,159
jump,158
demand,152
oil,150
period,143
growth,142
nifty,135
week,135
term,132
may,131
pc,130
service,130
pharma,127
top,126
operating,126
mln,126
future,124
group,122
strong,121
euro,120
higher,118
stake,115
bet,114
post,113
order,111
result,108
time,108
sensex,107
sector,106
day,106
loss,105
earnings,104
report,100
increase,100
plan,100
increased,98
see,98
first,98
rose,97
wa,97
business,96
raise,95
pick,95
positive,95
investor,95
capital,94
deal,94
stks,92
today,92
dollar,91
gold,91
look,91
global,90
industry,89
end,87
record,84
china,84
oyj,83
likely,83
level,82
bond,81
auto,81
space,80
percent,78
say,77
power,75
financial,75
target,74
two,72
lift,72
technology,71
bullish,71
compared,70
revenue,70
contract,69
fund,69
buying,68
ashwani,68
well,68
soar,68
upside,68
gujral,68
finland,67
boost,67
investment,67
deepak,66
also,65
ahead,65
solution,64
corresponding,64
operation,63
make,63
fold,63
tech,62
back,62
cap,61
get,61
next,60
offer,59
move,58
rupee,58
rate,58
billion,58
like,58
among,57
system,56
ltd,56
project,55
last,55
line,55
aapl,55
tata,55
cement,55
product,54
focus,54
mohoni,54
low,53
agreement,53
corporation,53
near,53
street,52
ipo,52
return,52
mitesh,52
thacker,52
lead,52
infosys,52
hope,52
cost,52
fy,51
data,51
better,51
expected,50
maker,49
metal,49
hike,49
acquisition,49
security,49
one,48
volume,48
choksey,48
fresh,48
index,48
firm,48
analyst,47
steel,47
trade,47
infra,47
upgrade,47
motor,47
support,46
second,46
point,45
finance,45
supply,45
help,45
close,45
banking,45
value,44
medium,44
signed,44
government,44
set,44
based,44
go,44
cue,43
network,43
three,43
call,43
customer,43
could,43
nearly,43
dividend,43
attractive,43
valuation,42
tc,42
energy,42
hel,42
mahindra,42
hdfc,42
sell,42
third,42
double,41
plant,41
export,41
climb,41
plc,41
still,41
short,41
asia,40
outlook,40
estimate,40
continue,40
position,39
retail,39
open,39
reliance,39
spot,39
sugar,38
ftse,38
beat,38
via,38
prefer,38
nine,38
deven,38
give,37
earlier,37
infrastructure,37
equity,37
best,37
hold,37
mehta,37
margin,37
nokia,37
looking,37
september,37
cut,37
european,37
ceo,36
bse,36
unit,36
russia,35
edge,35
rbi,35
take,35
gas,35
management,35
tax,35
idea,35
current,35
paper,35
would,34
seen,34
bounce,34
mobile,34
life,34
fall,34
grew,34
astrazeneca,34
issue,33
benefit,33
run,33
outperform,33
big,33
expansion,33
large,33
push,32
june,32
news,32
head,32
yen,32
win,32
pct,32
despite,31
insurance,31
corp,31
silver,31
march,31
debt,31
drug,31
usd,31
ongc,31
income,31
january,31
indian,31
prakash,31
small,31
technical,31
nod,31
chemical,31
international,31
awarded,31
right,30
construction,30
sebi,30
software,30
since,30
maruti,30
asset,30
opportunity,30
com,30
uk,30
show,30
pankaj,29
housing,29
tv,29
eps,29
midcap,29
worth,29
dip,29
rating,29
merger,28
improved,28
keep,28
major,28
pandey,28
according,28
interest,28
holding,28
add,28
pat,28
tyre,28
december,28
helsinki,28
potential,27
robust,27
tsla,27
trading,27
city,27
board,27
lower,27
drive,27
portfolio,27
psu,27
turnover,26
